,cod,valor,periodo
876,24,461,2021-01-15
877,25,841,2021-01-15
878,26,1517,2021-01-15
879,27,629,2021-01-15
880,28,423,2021-01-15
881,29,2414,2021-01-15
882,31,3211,2021-01-15
883,32,799,2021-01-15
884,33,1936,2021-01-15
885,35,5416,2021-01-15
886,41,2668,2021-01-15
887,50,646,2021-01-15
888,42,1441,2021-01-15
889,43,1717,2021-01-15
890,53,325,2021-01-15
